"","X12_0h","X12_14w","X12_2w","X13_0h","X13_14w","X13_2w","X14_0h","X14_14w","X14_2w","X15_0h","X15_14w","X23_0h","X23_14w","X23_2w","X24_0h","X24_14w","X24_2w","X28_0h","X28_14w","X28_2w","X29_0h","X29_14w","X29_2w","X38_0h","X38_2w","X39_0h","X39_2w","X40_0h","X40_2w","X42_0h","X42_2w"
"AQP9",0.45027385,0.392187864,0.42811919,0.4126013,0.374571148,0.453899355,0.393320258,0.374844145,0.360269281,0.388085457,0.343914885,0.380618575,0.364940445,0.381195432,0.442578229,0.36558489,0.471613166,0.452046212,0.445863566,0.455163545,0.489024335,0.502693181,0.450152396,0.452100734,0.451880138,0.424522247,0.420010972,0.349836664,0.380158184,0.443252167,0.358618495
"BANK1",0.437938727,0.404202226,0.418839629,0.423927681,0.414517604,0.407208405,0.431460635,0.40911391,0.415299376,0.431385827,0.418613266,0.405410898,0.418675062,0.425162546,0.460618395,0.437163103,0.4609081,0.442322763,0.437101536,0.436945726,0.458430233,0.449918261,0.466525706,0.449981261,0.446043063,0.437764291,0.450561674,0.437260617,0.408586404,0.459133762,0.39422499
"CHI3L2",0.429602348,0.393584377,0.396534957,0.406864523,0.391894387,0.386410707,0.400742244,0.396444043,0.398424951,0.41885344,0.389214943,0.378309303,0.396576361,0.406928759,0.449754355,0.408453806,0.448628896,0.427162036,0.425662963,0.427371066,0.495595999,0.467134212,0.46599716,0.44184404,0.444171841,0.393951007,0.421328938,0.409483874,0.37288407,0.437662774,0.367420817
"CMTM2",0.431281931,0.385499255,0.408986823,0.384770861,0.362014296,0.422733728,0.369593825,0.367997416,0.355450988,0.37302685,0.350196698,0.36961663,0.373235485,0.373316155,0.409523423,0.367610127,0.435146154,0.428876639,0.422959558,0.425742988,0.457468155,0.465176319,0.415495271,0.422141775,0.423854457,0.399639013,0.39626941,0.352087913,0.370800334,0.415522051,0.334217049
"CSF3R",0.420728452,0.406542361,0.390657425,0.40769705,0.393786256,0.389899485,0.413519767,0.392712287,0.391684672,0.419148231,0.404482808,0.392940053,0.401050357,0.417272577,0.445334399,0.426823962,0.448213885,0.435084609,0.424871488,0.421038315,0.44128585,0.429530918,0.44667987,0.430956206,0.425103038,0.398395776,0.42881139,0.430221578,0.397556886,0.443584918,0.36937022
"CXCL13",0.475385859,0.404307111,0.385739576,0.430738679,0.404099834,0.383856792,0.45330629,0.41492036,0.410879767,0.454729218,0.37512702,0.348748789,0.411228187,0.411546926,0.495617864,0.44245012,0.488447784,0.488559597,0.465831592,0.473679105,0.516472002,0.51360499,0.512498884,0.483378558,0.464258108,0.430945452,0.46434002,0.454330011,0.392460494,0.483345627,0.361210214
"FAM129C",0.389776918,0.385609291,0.35208464,0.384580705,0.351459574,0.344852684,0.396448145,0.369544222,0.362500859,0.392372602,0.366559026,0.363678117,0.372515921,0.394996612,0.425718572,0.42079051,0.425222545,0.409316208,0.401193976,0.393855505,0.408997991,0.396763187,0.417622836,0.404585316,0.400439407,0.366731945,0.41091084,0.418879113,0.370914142,0.424641071,0.358447355
"FCLR1",0.420461416,0.404186496,0.370706895,0.403276508,0.383459569,0.381644859,0.415177608,0.38627636,0.391968708,0.420107738,0.401543423,0.380445528,0.402249164,0.41873049,0.445673314,0.429553821,0.45055026,0.437630138,0.417734648,0.417446485,0.438501937,0.420377632,0.444330696,0.429761218,0.422904808,0.394372675,0.44002201,0.430428899,0.391132703,0.445186792,0.371699842
"IL13RA2",0.408337622,0.38811357,0.401911548,0.397350734,0.373443542,0.394342854,0.366484562,0.361483325,0.372620208,0.39183678,0.394151656,0.361839248,0.362222817,0.372076485,0.410503729,0.365906002,0.431707041,0.412283465,0.409670076,0.40927842,0.447659714,0.41759729,0.438651326,0.425599112,0.45269416,0.389774676,0.415816707,0.360563089,0.372889045,0.44275351,0.375997932
"MS4A1",0.448917967,0.415009597,0.398435866,0.433822707,0.416007801,0.402116432,0.436481931,0.409600589,0.412803719,0.441112644,0.414251384,0.392435841,0.41678873,0.438194742,0.480378293,0.457614951,0.4796726,0.459066298,0.449359976,0.44336769,0.472317063,0.452484643,0.478312681,0.458911153,0.454479184,0.415519105,0.460668334,0.455544887,0.414859741,0.473384435,0.382222928
