;P12_0h;P12_14w;P12_2w;P12_6w;P13_0h;P13_14w;P13_2w;P13_6w;P14_0h;P14_14w;P14_6w;P15_0h;P15_14w;P15_2w;P15_6w;P23_0h;P23_14w;P23_2w;P23_6w;P24_0h;P24_14w;P24_2w;P24_6w;P28_0h;P28_14w;P28_2w;P28_6w;P29_0h;P29_14w;P29_2w;P29_6w;P38_0h;P38_14w;P38_2w;P38_6w;P39_0h;P39_14w;P39_2w;P40_0h;P40_14w;P40_2w;P42_14w;P43_0h;P43_14w;P43_2w;P43_6w;P44_0h;P44_14w;P44_6w;P116_0h;P116_2w;P116_6w;P116_14w;P13_0h.1;P13_2w.1;P13_6w.1;P22_0h;P22_2w;P22_14w;P29_0h.1;P29_2w.1;P29_6w.1;P29_14w.1;P34_0h;P34_2w;P34_6w;P34_14w;P39_0h.1;P39_2w.1;P39_6w.1;P39_14w.1;P4_0h;P4_2w;P4_6w;P4_14w;P40_0h.1;P40_2w.1;P40_6w;P45_0h;P45_2w;P45_6w;P45_14w;P48_0h;P48_2w;P48_6w;P48_14w;P55_0h;P55_2w;P55_6w;P55_14w;P60_0h;P60_2w;P60_6w;P60_14w
ADGRG1;0,471527818;0,494834997;0,479323326;0,491518911;0,470915138;0,488705575;0,464242742;0,481085178;0,469122145;0,483131498;0,48109539;0,478313835;0,489678894;0,492230599;0,493942402;0,477572321;0,488867221;0,483398509;0,480907097;0,494256746;0,50387455;0,485690726;0,496362681;0,465461756;0,471566209;0,457359318;0,456953427;0,461604648;0,448996641;0,458345408;0,451903779;0,464162166;0,471586364;0,467267705;0,469915128;0,455530729;0,467295326;0,468582709;0,484648522;0,46229496;0,466999251;0,463110967;0,470878119;0,466166005;0,475685066;0,453198322;0,461937349;0,472636423;0,438979407;0,476641535;0,476550362;0,475107075;0,475363313;0,479608501;0,504322468;0,499238947;0,476485613;0,478193046;0,476591238;0,488492407;0,473820348;0,488863228;0,488667424;0,5058739;0,493858214;0,494089086;0,501083901;0,467697495;0,480910693;0,485107052;0,485620843;0,465429897;0,488122284;0,489307564;0,491343806;0,493274247;0,499553102;0,495799364;0,480103645;0,475968351;0,477148232;0,477608577;0,477626133;0,494228941;0,488048173;0,487583252;0,481587748;0,485208833;0,479161309;0,470135341;0,466820842;0,473901013;0,46076474;0,472726628
APOL6;0,495447238;0,513844872;0,492516467;0,511491864;0,487353398;0,498978343;0,477161516;0,492648468;0,480730401;0,494071103;0,490857455;0,493141368;0,494964153;0,492084031;0,505840812;0,493067685;0,494552035;0,484163784;0,487112474;0,486028409;0,495148045;0,487604672;0,488177152;0,478059724;0,494774624;0,478615545;0,481528596;0,507784138;0,489997078;0,508468978;0,519423811;0,468027561;0,496990211;0,485321209;0,482977921;0,471379611;0,486915182;0,47532948;0,509626595;0,5036397;0,490892248;0,483854399;0,500915831;0,48451781;0,508551321;0,479815439;0,482636635;0,488164944;0,482032881;0,481398273;0,484970145;0,487493295;0,487230901;0,49313111;0,502279745;0,506007002;0,493242606;0,499717609;0,490130956;0,501558559;0,518893088;0,498997101;0,496463399;0,502866023;0,503878891;0,505800455;0,509324135;0,487584342;0,496344692;0,505408788;0,498247337;0,491683777;0,512802884;0,512940958;0,523769974;0,514373931;0,505716963;0,502267155;0,505463866;0,498889454;0,499431423;0,507433921;0,509708359;0,515486825;0,524502894;0,520450409;0,499180272;0,498150966;0,495462653;0,51063676;0,518316436;0,531620131;0,506621376;0,497192963
ARHGAP35;0,464752694;0,46370946;0,463480386;0,462416751;0,456290485;0,460991247;0,438241106;0,458260066;0,440469597;0,452695595;0,454352542;0,436160551;0,458844541;0,453994946;0,458720041;0,453693258;0,455252572;0,443856735;0,447777396;0,450103627;0,451372087;0,445302022;0,445797107;0,446554654;0,455947046;0,442424663;0,443712568;0,441886434;0,445452197;0,442980563;0,443278677;0,431996901;0,431026273;0,451316879;0,444354912;0,432551784;0,435315201;0,439157244;0,466938293;0,447005124;0,451607648;0,449059047;0,458730847;0,447714499;0,445465284;0,440089742;0,44981866;0,448732336;0,446416654;0,456500261;0,461388312;0,46158321;0,463951896;0,441124902;0,465772874;0,467814485;0,460017975;0,460255912;0,454418715;0,464067176;0,460182708;0,466496282;0,464551907;0,463619607;0,464370954;0,466786769;0,466802006;0,45927861;0,457761259;0,456445662;0,455487514;0,443489316;0,460968049;0,460424436;0,463958846;0,462067809;0,469791123;0,465940159;0,458312842;0,462367699;0,467492135;0,45948177;0,464012248;0,468791442;0,470179291;0,46767826;0,456227069;0,46242213;0,465190533;0,455833856;0,459949949;0,463506557;0,462802779;0,464261716
BUB1B;0,427204651;0,440913264;0,429350238;0,433226094;0,410281262;0,429295183;0,401218206;0,41783279;0,413414827;0,406043444;0,417724963;0,407703222;0,416532485;0,419445662;0,419534805;0,410387743;0,409728884;0,404513708;0,406396606;0,411647771;0,409575848;0,424883817;0,42342852;0,413550514;0,406548372;0,399304423;0,408141782;0,424965071;0,420088083;0,428639126;0,420210566;0,409846095;0,394431784;0,41246421;0,407446442;0,399761374;0,403393767;0,417174178;0,434657308;0,414325866;0,415003911;0,418158422;0,429605191;0,410572377;0,418277437;0,42780609;0,418942832;0,409237169;0,418922423;0,415800474;0,414221472;0,418391335;0,420693109;0,402270513;0,422118014;0,433501956;0,426418709;0,426662989;0,422517584;0,423694275;0,430625337;0,422603296;0,421698793;0,424578738;0,431773825;0,42541115;0,424575026;0,433974251;0,430703919;0,42688921;0,415101957;0,417563684;0,436198594;0,428609381;0,432425989;0,432135626;0,434304108;0,423996177;0,440483821;0,430361869;0,433754318;0,433447034;0,435572706;0,434360732;0,435051189;0,435108799;0,421730254;0,425616255;0,429993885;0,421904285;0,449033382;0,442850932;0,448967156;0,45807752
CASP5;0,484713324;0,47191258;0,49468019;0,479633307;0,460707332;0,450877537;0,434997528;0,442956991;0,471707614;0,470030291;0,453714152;0,473504254;0,45647849;0,443697016;0,458890132;0,464445491;0,47450186;0,457993595;0,460139992;0,450086323;0,455578617;0,458114416;0,471247254;0,451539077;0,443884532;0,446432142;0,438358378;0,473774281;0,450297205;0,470088689;0,476571274;0,445320897;0,450387464;0,455041749;0,44742335;0,448563658;0,443681158;0,441427193;0,492938449;0,475472695;0,459730177;0,463893024;0,487670136;0,462144505;0,480777821;0,440837406;0,451362829;0,472165162;0,458569563;0,465784055;0,462905228;0,455400818;0,443820389;0,463550247;0,4538879;0,464938731;0,459783877;0,469245363;0,488716388;0,47043029;0,480612539;0,457547104;0,456348338;0,473143084;0,465296121;0,467369341;0,476997361;0,454917101;0,458092024;0,470558189;0,46805336;0,473979566;0,487993776;0,492794651;0,498790939;0,489154531;0,467118214;0,463377821;0,462456653;0,456736528;0,465901892;0,485280558;0,479916501;0,478812189;0,48881294;0,489103419;0,489239574;0,473250348;0,487494331;0,487427283;0,471436226;0,478015177;0,460048555;0,479978952
COMMD3,COMMD3-BMI1;0,484992793;0,476636699;0,469752639;0,486389435;0,469405399;0,489677762;0,455394055;0,481091429;0,460856227;0,462591637;0,471263577;0,45120864;0,46620098;0,462000548;0,47065361;0,451415937;0,469115466;0,446130932;0,452160867;0,452776445;0,457452029;0,459614554;0,44534573;0,444888639;0,457442347;0,448263557;0,44852476;0,443743725;0,464546561;0,462501204;0,450764546;0,441008075;0,437597114;0,461134712;0,452263684;0,451740685;0,444551253;0,450079331;0,487881669;0,463820755;0,459025176;0,463285312;0,472924029;0,463982134;0,453118219;0,46389259;0,457469833;0,457844624;0,461045631;0,441414784;0,440126704;0,450317569;0,451746908;0,43670225;0,453598587;0,46056279;0,456190372;0,455795186;0,446038464;0,46580585;0,461074709;0,459119075;0,451630918;0,450993568;0,456132398;0,459801193;0,458421271;0,460297276;0,462213423;0,454135071;0,452439678;0,430196765;0,46071381;0,445530682;0,462433937;0,461490276;0,466147444;0,460750695;0,46461256;0,458035446;0,470806704;0,459576583;0,462358659;0,469237836;0,463368889;0,465101126;0,451944361;0,462875344;0,46255334;0,451183781;0,467473486;0,456243643;0,454671415;0,464100733
CXXC5;0,467287005;0,478348693;0,456514171;0,467870864;0,458432005;0,469862169;0,447722266;0,465896813;0,446827902;0,459122127;0,464181917;0,442953755;0,465725133;0,458650836;0,466896244;0,451105749;0,458555608;0,44454138;0,451141819;0,45116623;0,455115968;0,45516797;0,44880876;0,448294605;0,456270416;0,443807106;0,447006928;0,432416272;0,44641246;0,44713814;0,439940291;0,437864776;0,435177275;0,454267776;0,446015612;0,4400858;0,444125249;0,442378946;0,471783799;0,453620031;0,456293769;0,456955164;0,464274158;0,455673979;0,451679758;0,45318015;0,456534823;0,460035265;0,448431347;0,451844059;0,456917684;0,464947314;0,461967755;0,451311553;0,464620637;0,464361178;0,463762525;0,462136395;0,459833395;0,463084622;0,461203076;0,46736255;0,467182439;0,466762963;0,473444186;0,470973116;0,470254411;0,458054573;0,461396185;0,460540434;0,458726005;0,451804247;0,461916902;0,457612325;0,461867551;0,464049351;0,471566255;0,472769317;0,459479539;0,461881841;0,47085719;0,46448881;0,469164885;0,476236732;0,473814237;0,471482339;0,452543491;0,464179352;0,468074607;0,456361954;0,463081707;0,463955642;0,451012833;0,455326837
FAM134B;0,452200823;0,44814699;0,440746343;0,443200529;0,440962016;0,448799329;0,414764674;0,439260257;0,426220369;0,432775068;0,435699366;0,410229287;0,438330837;0,426598922;0,438878032;0,423796658;0,436416232;0,421002105;0,423994696;0,412165084;0,415926177;0,419802125;0,398734087;0,419225688;0,443833038;0,425170027;0,424165732;0,425468516;0,424792511;0,420710357;0,413915691;0,407063009;0,39997162;0,424041518;0,419766468;0,409616378;0,403954662;0,411590684;0,456716379;0,431433005;0,42915925;0,429584253;0,441658735;0,431791263;0,429118629;0,418239905;0,42360248;0,424281633;0,433420119;0,429127646;0,429261162;0,433877495;0,435497034;0,415775195;0,439015599;0,442694903;0,447590103;0,44540286;0,435477479;0,449819191;0,440909374;0,447631735;0,443392481;0,435751534;0,441385335;0,443768336;0,441644883;0,436384609;0,444542672;0,436153277;0,440739643;0,413769516;0,43824887;0,431632726;0,440581183;0,442180199;0,44801054;0,443569722;0,440160182;0,43981513;0,44873549;0,436970147;0,436413222;0,440461444;0,443143367;0,44355581;0,44240629;0,446976452;0,446659299;0,437641604;0,446436679;0,449449047;0,441031015;0,445960316
FAM208B;0,467210892;0,469334006;0,458883376;0,466322469;0,458045087;0,471891736;0,439522616;0,462549215;0,439590153;0,450754808;0,455620156;0,434781322;0,460916803;0,451345671;0,462695438;0,447411673;0,457964243;0,442036164;0,447023272;0,442372179;0,449582895;0,447276643;0,436273394;0,437509452;0,455189494;0,44044893;0,441717438;0,434261107;0,44915686;0,446055683;0,439748677;0,427024125;0,428437706;0,446123758;0,441563144;0,433729868;0,433275567;0,433868997;0,470787547;0,453352137;0,453073182;0,45067641;0,462947464;0,449225256;0,448363711;0,442046946;0,446374984;0,449066782;0,448655763;0,446455229;0,448391439;0,450606039;0,45342797;0,433860645;0,45347068;0,459234551;0,45146884;0,453723133;0,441009501;0,455920294;0,455120137;0,458005272;0,451039804;0,451737867;0,457608635;0,459801193;0,458225571;0,446576464;0,45269753;0,45034926;0,449812497;0,430236836;0,457295281;0,446373383;0,460681505;0,459480222;0,462774055;0,458564395;0,456180671;0,452692212;0,460982267;0,452849269;0,45428139;0,460769016;0,458461475;0,463134172;0,451439291;0,458098395;0,45776576;0,446197497;0,460290269;0,46045768;0,445370585;0,456919264
"FCGR1B;FCGR1A;FCGR1CP";0,497238424;0,491200111;0,485945931;0,493875927;0,474914255;0,470007714;0,441838784;0,457177672;0,476996634;0,473594526;0,459809272;0,4807843;0,469461642;0,464117047;0,482866766;0,476100455;0,486875703;0,46333741;0,464576656;0,464287357;0,468607989;0,476701575;0,474477731;0,456154121;0,46188033;0,45081999;0,455149855;0,517501593;0,481364348;0,507084392;0,512062427;0,46238892;0,475418199;0,473921571;0,465449678;0,445036377;0,462971664;0,443529729;0,492665902;0,487526141;0,462961646;0,459936202;0,492684966;0,473159701;0,50190889;0,461486946;0,468576735;0,477773009;0,463230017;0,45989858;0,457191975;0,452133102;0,443632974;0,482317131;0,467690065;0,476647646;0,489582064;0,487323315;0,485893487;0,480566065;0,494322867;0,45842473;0,457098874;0,47684146;0,474305841;0,477880499;0,48824859;0,471575648;0,460957587;0,481512043;0,465093927;0,475331148;0,498500794;0,49597815;0,513019821;0,498955801;0,473601545;0,460519772;0,492258642;0,472329887;0,477478065;0,493860354;0,49507397;0,493097811;0,500353872;0,510468824;0,491140112;0,481149181;0,488074335;0,492115951;0,513772617;0,520755997;0,502417527;0,495047954
